사이트명,URL,전체링크,다운로드후보,상세페이지,중복제거,대상파일,다운로드성공,다운로드실패,성공률
영등포구,https://www.ydp.go.kr/www/selectBbsNttList.do?bbsNo=31&key=2814&, 1,691,11,10,1,20,10,10,50.0%
동작구,https://assembly.dongjak.go.kr/kr/costBBS.do, 1,0,0,0,0,0,0,0,0.0%
용산구,https://www.yscl.go.kr/kr/councilcostBBS.do, 1,0,0,0,0,0,0,0,0.0%
광진구,https://council.gwangjin.go.kr/kr/data/bbs?bbs_id=businesswork, 1,0,0,0,0,0,0,0,0.0%
서초구,https://www.seocho.go.kr/site/seocho/ex/bbs/List.do?cbIdx=33, 1,1,0,0,0,0,0,0,0.0%
강동구,https://www.gangdong.go.kr/web/newportal/bbs/b_054, 1,2,0,0,0,0,0,0,0.0%
마포구,https://council.mapo.seoul.kr/kr/news/bbsCost.do, 2,0,0,0,0,0,0,0,0.0%
동대문구,https://www.ddm.go.kr/www/selectBbsNttList.do?bbsNo=160&key=565, 1,0,0,0,0,0,0,0,0.0%
성북구,https://www.sb.go.kr/www/selectBbsNttList.do?key=5923&bbsNo=28&nttNo=9506372&searchCtgry=&searchCnd=all&searchKrwd=&integrDeptCode=&startDate=&endDate=&pageIndex=33, 1,0,0,0,0,0,0,0,0.0%
도봉구,https://www.dobong.go.kr/bbs.asp?code=10008860, 1,1,0,0,0,0,0,0,0.0%
노원구,https://www.nowon.kr/www/user/bbs/BD_selectBbsList.do?q_bbsCode=1012, 1,0,0,0,0,0,0,0,0.0%
수원시,https://www.suwon.go.kr/web/board/BD_board.list.do?bbsCd=1037, 1,0,0,0,0,0,0,0,0.0%
강서구,https://www.gangseo.seoul.kr/gs030325, 1,2,0,0,0,0,0,0,0.0%
양천구,https://www.ycc.go.kr/kr/news/bbs?bbs_id=business, 1,0,0,0,0,0,0,0,0.0%
구로구,https://www.guro.go.kr/www/selectBbsNttList.do?bbsNo=655&key=1732, 1,0,0,0,0,0,0,0,0.0%
금천구,https://www.geumcheon.go.kr/portal/selectBbsNttList.do?bbsNo=86&key=269, 1,7,0,0,0,0,0,0,0.0%
송파구,https://www.songpa.go.kr/www/selectBbsNttList.do?bbsNo=327&key=2323, 1,0,0,0,0,0,0,0,0.0%
강남구,https://www.gangnam.go.kr/board/B_000673/list.do?mid=ID04_02040402,767,20,10,20,10,0,10,0.0%
동작구,https://assembly.dongjak.go.kr/kr/costBBS.do,327,11,2,12,1,1,0,100.0%
강동구,https://www.gangdong.go.kr/web/newportal/bbs/b_054,761,0,0,0,0,0,0,0.0%
마포구,https://council.mapo.seoul.kr/kr/news/bbsCost.do,288,0,2,0,10,10,0,100.0%
동대문구,https://www.ddm.go.kr/www/selectBbsNttList.do?bbsNo=160&key=565,1432,1,10,0,20,9,11,45.0%
용산구,https://www.yscl.go.kr/kr/councilcostBBS.do,347,76,3,72,7,7,0,100.0%
광진구,https://council.gwangjin.go.kr/kr/data/bbs?bbs_id=businesswork,336,0,5,0,10,5,5,50.0%
성북구,https://www.sb.go.kr/www/selectBbsNttList.do?key=5923&bbsNo=28&nttNo=9506372&searchCtgry=&searchCnd=all&searchKrwd=&integrDeptCode=&startDate=&endDate=&pageIndex=33,748,1,0,1,0,0,0,0.0%
도봉구,https://www.dobong.go.kr/bbs.asp?code=10008860,1245,1,0,1,0,0,0,0.0%
노원구,https://www.nowon.kr/www/user/bbs/BD_selectBbsList.do?q_bbsCode=1012,738,10,0,0,10,9,1,90.0%
수원시,https://www.suwon.go.kr/web/board/BD_board.list.do?bbsCd=1037,1263,3,0,3,0,0,0,0.0%
강서구,https://www.gangseo.seoul.kr/gs030325,898,0,0,0,0,0,0,0.0%
양천구,https://www.ycc.go.kr/kr/news/bbs?bbs_id=business,404,0,1,0,3,3,0,100.0%
구로구,https://www.guro.go.kr/www/selectBbsNttList.do?bbsNo=655&key=1732,1757,12,14,13,13,2,11,15.4%
금천구,https://www.geumcheon.go.kr/portal/selectBbsNttList.do?bbsNo=86&key=269,1181,0,10,1,9,9,0,100.0%
서초구,https://www.seocho.go.kr/site/seocho/ex/bbs/List.do?cbIdx=33,1158,1,10,0,33,11,22,33.3%
송파구,https://www.songpa.go.kr/www/selectBbsNttList.do?bbsNo=327&key=2323,1795,10,10,10,10,0,10,0.0%
은평구,https://council.ep.go.kr/kr/costBBS.do,356,12,2,13,1,1,0,100.0%
